country;province;town_id;town;id;name;lang;street;latitude;longitude;link_to_shop;link_to_town;link_to_small_shop_image;link_to_big_shop_image;sample_discount_percentage;sample_discount_period
AT;Niederösterreich;4254;"Göstling an der Ybbs";3426;"Intersport Fahrnberger";de;"Göstling 51";47.807800;14.932671;https://www.alpinresorts.com/de/skiverleih/parameters/3426;https://www.alpinresorts.com/de/skiverleih/oesterreich/niederoesterreich/goestling-an-der-ybbs;https://www.alpinresorts.com/uploads/images/alpinshop/small/a/f/4/af413112c1ca1f6bfbff9e4ff4532dc04c18f517.jpg;https://www.alpinresorts.com/uploads/images/alpinshop/big/a/f/4/af413112c1ca1f6bfbff9e4ff4532dc04c18f517.jpg;0.17;2020-01-11
AT;"Lower Austria";4254;"Göstling an der Ybbs";3426;"Intersport Fahrnberger";en;"Göstling 51";47.807800;14.932671;https://www.alpinresorts.com/en/ski-rental/parameters/3426;https://www.alpinresorts.com/en/ski-rental/austria/lower-austria/goestling-an-der-ybbs;https://www.alpinresorts.com/uploads/images/alpinshop/small/a/f/4/af413112c1ca1f6bfbff9e4ff4532dc04c18f517.jpg;https://www.alpinresorts.com/uploads/images/alpinshop/big/a/f/4/af413112c1ca1f6bfbff9e4ff4532dc04c18f517.jpg;0.17;2020-01-11
AT;Basse-Autriche;4254;"Göstling an der Ybbs";3426;"Intersport Fahrnberger";fr;"Göstling 51";47.807800;14.932671;https://www.alpinresorts.com/fr/location-ski/parameters/3426;https://www.alpinresorts.com/fr/location-ski/autriche/basse-autriche/goestling-an-der-ybbs;https://www.alpinresorts.com/uploads/images/alpinshop/small/a/f/4/af413112c1ca1f6bfbff9e4ff4532dc04c18f517.jpg;https://www.alpinresorts.com/uploads/images/alpinshop/big/a/f/4/af413112c1ca1f6bfbff9e4ff4532dc04c18f517.jpg;0.17;2020-01-11
AT;"Bassa Austria";4254;"Göstling an der Ybbs";3426;"Intersport Fahrnberger";it;"Göstling 51";47.807800;14.932671;https://www.alpinresorts.com/it/noleggio-ski/parameters/3426;https://www.alpinresorts.com/it/noleggio-ski/austria/bassa-austria/goestling-an-der-ybbs;https://www.alpinresorts.com/uploads/images/alpinshop/small/a/f/4/af413112c1ca1f6bfbff9e4ff4532dc04c18f517.jpg;https://www.alpinresorts.com/uploads/images/alpinshop/big/a/f/4/af413112c1ca1f6bfbff9e4ff4532dc04c18f517.jpg;0.17;2020-01-11
AT;Neder-Oostenrijk;4254;"Göstling an der Ybbs";3426;"Intersport Fahrnberger";nl;"Göstling 51";47.807800;14.932671;https://www.alpinresorts.com/nl/skiverhuur/parameters/3426;https://www.alpinresorts.com/nl/skiverhuur/oostenrijk/neder-oostenrijk/goestling-an-der-ybbs;https://www.alpinresorts.com/uploads/images/alpinshop/small/a/f/4/af413112c1ca1f6bfbff9e4ff4532dc04c18f517.jpg;https://www.alpinresorts.com/uploads/images/alpinshop/big/a/f/4/af413112c1ca1f6bfbff9e4ff4532dc04c18f517.jpg;0.17;2020-01-11
AT;Niederösterreich;415;"Lackenhof / Ötscher";2030;"Skischule Ötscher";de;"Talstation (valley station) Eibenkogel";47.869999;15.155543;https://www.alpinresorts.com/de/skiverleih/parameters/2030;https://www.alpinresorts.com/de/skiverleih/oesterreich/niederoesterreich/lackenhof;https://www.alpinresorts.com/uploads/images/alpinshop/small/7/a/b/7abd88fa0721ed14fdcef97a73a731b6e3e6c139.jpg;https://www.alpinresorts.com/uploads/images/alpinshop/big/7/a/b/7abd88fa0721ed14fdcef97a73a731b6e3e6c139.jpg;0.17;2020-01-11
AT;"Lower Austria";415;"Lackenhof / Ötscher";2030;"Skischule Ötscher";en;"Talstation (valley station) Eibenkogel";47.869999;15.155543;https://www.alpinresorts.com/en/ski-rental/parameters/2030;https://www.alpinresorts.com/en/ski-rental/austria/lower-austria/lackenhof;https://www.alpinresorts.com/uploads/images/alpinshop/small/7/a/b/7abd88fa0721ed14fdcef97a73a731b6e3e6c139.jpg;https://www.alpinresorts.com/uploads/images/alpinshop/big/7/a/b/7abd88fa0721ed14fdcef97a73a731b6e3e6c139.jpg;0.17;2020-01-11
AT;Basse-Autriche;415;"Lackenhof / Ötscher";2030;"Skischule Ötscher";fr;"Talstation (valley station) Eibenkogel";47.869999;15.155543;https://www.alpinresorts.com/fr/location-ski/parameters/2030;https://www.alpinresorts.com/fr/location-ski/autriche/basse-autriche/lackenhof;https://www.alpinresorts.com/uploads/images/alpinshop/small/7/a/b/7abd88fa0721ed14fdcef97a73a731b6e3e6c139.jpg;https://www.alpinresorts.com/uploads/images/alpinshop/big/7/a/b/7abd88fa0721ed14fdcef97a73a731b6e3e6c139.jpg;0.17;2020-01-11
AT;"Bassa Austria";415;"Lackenhof / Ötscher";2030;"Skischule Ötscher";it;"Talstation (valley station) Eibenkogel";47.869999;15.155543;https://www.alpinresorts.com/it/noleggio-ski/parameters/2030;https://www.alpinresorts.com/it/noleggio-ski/austria/bassa-austria/lackenhof;https://www.alpinresorts.com/uploads/images/alpinshop/small/7/a/b/7abd88fa0721ed14fdcef97a73a731b6e3e6c139.jpg;https://www.alpinresorts.com/uploads/images/alpinshop/big/7/a/b/7abd88fa0721ed14fdcef97a73a731b6e3e6c139.jpg;0.17;2020-01-11
AT;Neder-Oostenrijk;415;"Lackenhof / Ötscher";2030;"Skischule Ötscher";nl;"Talstation (valley station) Eibenkogel";47.869999;15.155543;https://www.alpinresorts.com/nl/skiverhuur/parameters/2030;https://www.alpinresorts.com/nl/skiverhuur/oostenrijk/neder-oostenrijk/lackenhof;https://www.alpinresorts.com/uploads/images/alpinshop/small/7/a/b/7abd88fa0721ed14fdcef97a73a731b6e3e6c139.jpg;https://www.alpinresorts.com/uploads/images/alpinshop/big/7/a/b/7abd88fa0721ed14fdcef97a73a731b6e3e6c139.jpg;0.17;2020-01-11
